Captions,Label,Cleaned_Captions
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...
",0,go jurong point crazy available bugis n great world la e buffet cine got amore wat
"Ok lar... Joking wif u oni...
",0,ok lar joking wif u oni
"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
",1,free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs apply over
"U dun say so early hor... U c already then say...
",0,u dun say early hor u c already say
"Nah I don't think he goes to usf, he lives around here though
",0,nah dont think go usf life around though
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv
",1,freemsg hey darling week word back id like fun still tb ok xxx std chgs send rcv
"Even my brother is not like to speak with me. They treat me like aids patent.
",0,even brother like speak treat like aid patent
"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
",0,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
"WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
",1,winner valued network customer selected receivea prize reward claim call claim code kl valid hour
"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
",1,mobile month u r entitled update latest colour mobile camera free call mobile update co free
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.
",0,im gon na home soon dont want talk stuff anymore tonight k ive cried enough today
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info
",1,six chance win cash pound txt csh send cost pday day tsandcs apply reply hl info
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
",1,urgent week free membership prize jackpot txt word claim tc lccltd pobox ldnwarw
"I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
",0,ive searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time
"I HAVE A DATE ON SUNDAY WITH WILL!!
",0,date sunday
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL
",1,xxxmobilemovieclub use credit click wap link next txt message click xxxmobilemovieclubcomnqjkgighjjgcbl
"Oh k...i'm watching here:)
",0,oh kim watching
"Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
",0,eh u remember spell name yes v naughty make v wet
"Fine if that?s the way u feel. That?s the way its gota b
",0,fine thats way u feel thats way gota b
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+
",1,england v macedonia dont miss goalsteam news txt ur national team eg england trywales scotland txt poboxoxwwq
"Is that seriously how you spell his name?
",0,seriously spell name
"Im going to try for 2 months ha ha only joking
",0,im going try month ha ha joking
"So ü pay first lar... Then when is da stock comin...
",0,pay first lar da stock comin
"Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
",0,aft finish lunch go str lor ard smth lor u finish ur lunch already
"Ffffffffff. Alright no way I can meet up with you sooner?
",0,ffffffffff alright way meet sooner
"Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
",0,forced eat slice im really hungry tho suck mark getting worried know im sick turn pizza lol
"Lol your always so convincing.
",0,lol always convincing
"Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
",0,catch bus frying egg make tea eating mom left dinner feel love
"I'm back &amp; we're packing the car now, I'll let you know if there's room
",0,im back amp packing car ill let know there room
"Ahhh. Work. I vaguely remember that! What does it feel like? Lol
",0,ahhh work vaguely remember feel like lol
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us
",0,wait thats still clear sure sarcastic thats x doesnt want live u
"Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 
",0,yeah got v apologetic n fallen actin like spoilt child got caught till wont go badly cheer
"K tell me anything about you.
",0,k tell anything
"For fear of fainting with the of all that housework you just did? Quick have a cuppa
",0,fear fainting housework quick cuppa
"Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
",1,thanks subscription ringtone uk mobile charged month please confirm replying yes reply charged
